ticket_id,ticket_text,priority,user_id,sla_id,category
1000,Office router lights are blinking red since yesterday,Medium,366,SLA-B,networking
1001,URGENT: Wi‑Fi keeps disconnecting for warehouse scanners today,Urgent,344,SLA-C,networking
1002,Office router lights are blinking red on laptop,High,225,SLA-C,networking
1003,Employee reports extremely slow internet after 3 PM,Urgent,62,SLA-A,networking
1004,URGENT: Office router lights are blinking red today,Medium,33,SLA-B,networking
1005,Packet loss when pinging 8.8.8.8 on laptop,Low,302,SLA-C,networking
1006,PLEASE HELP: Wi‑Fi keeps disconnecting for warehouse scanners today,Medium,302,SLA-A,networking
1007,FYI: Printer offline when connected over Wi‑Fi only,Low,37,SLA-C,networking
1008,PLEASE HELP: Cannot reach internal file server from branch office since yesterday,Low,118,SLA-A,networking
1009,URGENT: Laptop unable to obtain IP address via DHCP today,Low,441,SLA-B,networking
1010,Firewall blocking outbound SMTP traffic,Low,264,SLA-A,networking
1011,Employee reports extremely slow internet after 3 PM since yesterday,High,343,SLA-B,networking
1012,FYI: Firewall blocking outbound SMTP traffic,Medium,277,SLA-A,networking
1013,Printer offline when connected over Wi‑Fi only after update,Urgent,125,SLA-B,networking
1014,FYI: Office router lights are blinking red on laptop,Urgent,98,SLA-A,networking
1015,URGENT: Firewall blocking outbound SMTP traffic,Low,338,SLA-B,networking
1016,URGENT: VPN connection drops every few minutes since yesterday,High,217,SLA-B,networking
1017,URGENT: Office router lights are blinking red,Urgent,443,SLA-C,networking
1018,FYI: Employee reports extremely slow internet after 3 PM after update,Low,345,SLA-C,networking
1019,URGENT: Firewall blocking outbound SMTP traffic since yesterday,Low,32,SLA-B,networking
1020,URGENT: Office router lights are blinking red on laptop,High,410,SLA-A,networking
1021,URGENT: Wi‑Fi keeps disconnecting for warehouse scanners after update,Medium,99,SLA-A,networking
1022,FYI: Employee reports extremely slow internet after 3 PM on laptop,Urgent,72,SLA-B,networking
1023,FYI: Wi‑Fi keeps disconnecting for warehouse scanners,Medium,143,SLA-B,networking
1024,Wi‑Fi keeps disconnecting for warehouse scanners since yesterday,Medium,448,SLA-A,networking
1025,FYI: Employee reports extremely slow internet after 3 PM,Urgent,414,SLA-C,networking
1026,FYI: Wi‑Fi keeps disconnecting for warehouse scanners today,Low,26,SLA-C,networking
1027,PLEASE HELP: Printer offline when connected over Wi‑Fi only after update,Low,497,SLA-A,networking
1028,FYI: Cannot reach internal file server from branch office today,Medium,86,SLA-B,networking
1029,FYI: Wi‑Fi keeps disconnecting for warehouse scanners on laptop,Urgent,247,SLA-A,networking
